#Enter number of particles (N): #Enter density (rho): #Enter initial temperature (T): #Enter runtime: #Enter time step (dt): #Enter random seed: #Enter burn-in time (burninTime): 
#N=343 L=7.000000 T=0.100000 runtime=40.000000 dt=0.010000 seed=13 burninTime=0.900000
# time     E         U          K         T   <[H-<H>]^2>
0.000000 -3.850415 -3.995082 0.144667 0.096445 0.000000
0.000000 -3.850009 -3.982729 0.132719 0.088480 0.000000
0.010000 -3.848997 -3.951976 0.102979 0.068653 0.000000
0.020000 -3.847908 -3.918567 0.070659 0.047106 0.000000
0.030000 -3.847377 -3.899296 0.051919 0.034613 0.000000
0.040000 -3.847701 -3.902332 0.054631 0.036421 0.000000
0.050000 -3.848582 -3.922815 0.074233 0.049489 0.000000
0.060000 -3.849400 -3.947269 0.097868 0.065246 0.000000
0.070000 -3.849692 -3.962935 0.113243 0.075495 0.000000
0.080000 -3.849378 -3.965052 0.115674 0.077116 0.000000
0.090000 -3.848715 -3.958286 0.109571 0.073047 0.000000
0.100000 -3.848098 -3.952845 0.104747 0.069831 0.000000
0.110000 -3.847830 -3.958336 0.110506 0.073671 0.000000
0.120000 -3.847950 -3.979054 0.131103 0.087402 0.000000
0.130000 -3.848249 -4.013296 0.165048 0.110032 0.000000
0.140000 -3.848448 -4.056522 0.208074 0.138716 0.000000
0.150000 -3.848393 -4.105603 0.257210 0.171473 0.000000
0.160000 -3.848108 -4.161314 0.313207 0.208804 0.000000
0.170000 -3.847738 -4.228070 0.380333 0.253555 0.000000
0.180000 -3.847452 -4.311704 0.464252 0.309501 0.000000
0.190000 -3.847347 -4.416863 0.569516 0.379677 0.000000
0.200000 -3.847405 -4.545548 0.698143 0.465429 0.000000
0.210000 -3.847549 -4.697428 0.849879 0.566586 0.000000
0.220000 -3.847770 -4.871094 1.023324 0.682216 0.000000
0.230000 -3.848258 -5.064376 1.216118 0.810745 0.000000
0.240000 -3.849411 -5.271904 1.422493 0.948329 0.000000
0.250000 -3.851642 -5.479946 1.628304 1.085536 0.000000
0.260000 -3.855076 -5.661596 1.806521 1.204347 0.000000
0.270000 -3.859216 -5.776691 1.917475 1.278317 0.000000
0.280000 -3.861447 -5.783363 1.921916 1.281277 0.000000
0.290000 -3.858401 -5.677011 1.818610 1.212407 0.000000
0.300000 -3.852486 -5.529721 1.677236 1.118157 0.000000
0.310000 -3.852685 -5.441012 1.588326 1.058884 0.000000
0.320000 -3.856089 -5.420674 1.564584 1.043056 0.000000
0.330000 -3.857763 -5.418493 1.560731 1.040487 0.000000
0.340000 -3.856883 -5.402276 1.545393 1.030262 0.000000
0.350000 -3.854860 -5.379478 1.524618 1.016412 0.000000
0.360000 -3.854983 -5.373208 1.518224 1.012150 0.000000
0.370000 -3.855000 -5.384202 1.529203 1.019468 0.000000
0.380000 -3.856045 -5.406995 1.550950 1.033967 0.000000
0.390000 -3.856531 -5.424984 1.568452 1.045635 0.000000
0.400000 -3.856835 -5.426714 1.569879 1.046586 0.000000
0.410000 -3.856102 -5.407259 1.551158 1.034105 0.000000
0.420000 -3.853958 -5.379696 1.525738 1.017158 0.000000
0.430000 -3.853010 -5.377594 1.524584 1.016389 0.000000
0.440000 -3.855311 -5.413461 1.558150 1.038767 0.000000
0.450000 -3.857046 -5.455047 1.598000 1.065334 0.000000
0.460000 -3.857283 -5.473443 1.616160 1.077440 0.000000
0.470000 -3.855620 -5.467105 1.611485 1.074323 0.000000
0.480000 -3.855139 -5.461260 1.606121 1.070747 0.000000
0.490000 -3.855425 -5.469150 1.613724 1.075816 0.000000
0.500000 -3.855948 -5.490177 1.634229 1.089486 0.000000
0.510000 -3.857346 -5.515660 1.658315 1.105543 0.000000
0.520000 -3.857395 -5.526412 1.669018 1.112679 0.000000
0.530000 -3.856490 -5.520162 1.663672 1.109115 0.000000
0.540000 -3.855756 -5.509741 1.653985 1.102657 0.000000
0.550000 -3.854955 -5.507553 1.652597 1.101732 0.000000
0.560000 -3.854770 -5.524699 1.669930 1.113286 0.000000
0.570000 -3.856716 -5.559593 1.702877 1.135252 0.000000
0.580000 -3.858169 -5.583069 1.724901 1.149934 0.000000
0.590000 -3.856908 -5.573713 1.716805 1.144537 0.000000
0.600000 -3.855232 -5.547767 1.692535 1.128357 0.000000
0.610000 -3.855381 -5.529760 1.674380 1.116253 0.000000
0.620000 -3.856438 -5.520493 1.664055 1.109370 0.000000
0.630000 -3.855642 -5.509997 1.654354 1.102903 0.000000
0.640000 -3.855576 -5.508737 1.653161 1.102107 0.000000
0.650000 -3.856850 -5.516411 1.659561 1.106374 0.000000
0.660000 -3.856532 -5.515107 1.658576 1.105717 0.000000
0.670000 -3.856134 -5.505290 1.649156 1.099437 0.000000
0.680000 -3.855181 -5.495125 1.639944 1.093296 0.000000
0.690000 -3.854940 -5.499254 1.644314 1.096209 0.000000
0.700000 -3.855503 -5.522108 1.666605 1.111070 0.000000
0.710000 -3.855454 -5.555918 1.700464 1.133643 0.000000
0.720000 -3.856039 -5.597004 1.740965 1.160643 0.000000
0.730000 -3.857370 -5.633089 1.775719 1.183813 0.000000
0.740000 -3.857366 -5.645058 1.787691 1.191794 0.000000
0.750000 -3.856336 -5.633666 1.777330 1.184887 0.000000
0.760000 -3.856056 -5.616263 1.760207 1.173471 0.000000
0.770000 -3.856450 -5.601196 1.744746 1.163164 0.000000
0.780000 -3.856020 -5.586981 1.730962 1.153975 0.000000
0.790000 -3.855059 -5.581541 1.726482 1.150988 0.000000
0.800000 -3.855198 -5.598612 1.743414 1.162276 0.000000
0.810000 -3.856032 -5.636289 1.780257 1.186838 0.000000
0.820000 -3.857430 -5.677937 1.820507 1.213671 0.000000
0.830000 -3.858189 -5.698940 1.840751 1.227167 0.000000
0.840000 -3.857228 -5.686162 1.828934 1.219289 0.000000
0.850000 -3.856555 -5.650672 1.794117 1.196078 0.000000
0.860000 -3.855335 -5.606480 1.751144 1.167430 0.000000
0.870000 -3.853675 -5.575796 1.722121 1.148081 0.000000
0.880000 -3.854551 -5.582291 1.727740 1.151827 0.000000
0.890000 -3.857235 -5.612797 1.755562 1.170375 0.000000
0.900000 -3.857961 -5.628679 1.770718 1.180479 0.000000
0.910000 -3.857019 -5.615678 1.758659 1.172439 0.000471
0.920000 -3.855595 -5.586916 1.731321 1.154214 0.000972
0.930000 -3.854660 -5.564322 1.709661 1.139774 0.001271
0.940000 -3.854816 -5.562525 1.707709 1.138472 0.001284
0.950000 -3.856312 -5.578563 1.722250 1.148167 0.001177
0.960000 -3.857689 -5.589991 1.732302 1.154868 0.001230
0.970000 -3.856903 -5.578085 1.721182 1.147455 0.001168
0.980000 -3.855584 -5.553622 1.698038 1.132025 0.001129
0.990000 -3.855383 -5.536865 1.681481 1.120988 0.001104
1.000000 -3.855457 -5.534196 1.678739 1.119159 0.001074
1.010000 -3.855363 -5.546703 1.691340 1.127560 0.001049
1.020000 -3.856293 -5.574076 1.717784 1.145189 0.001010
1.030000 -3.856566 -5.603066 1.746500 1.164334 0.000981
1.040000 -3.856313 -5.627677 1.771364 1.180909 0.000949
1.050000 -3.857303 -5.648636 1.791333 1.194222 0.000962
1.060000 -3.857985 -5.654076 1.796092 1.197394 0.001024
1.070000 -3.858140 -5.634290 1.776149 1.184100 0.001080
1.080000 -3.857170 -5.589573 1.732402 1.154935 0.001065
1.090000 -3.855791 -5.536472 1.680681 1.120454 0.001048
1.100000 -3.854408 -5.499913 1.645505 1.097003 0.001108
1.110000 -3.854732 -5.501631 1.646898 1.097932 0.001132
1.120000 -3.857218 -5.536687 1.679469 1.119646 0.001125
1.130000 -3.857782 -5.571308 1.713526 1.142351 0.001141
1.140000 -3.856853 -5.594439 1.737586 1.158391 0.001122
1.150000 -3.856755 -5.614830 1.758075 1.172050 0.001103
1.160000 -3.856721 -5.633024 1.776303 1.184202 0.001084
1.170000 -3.857165 -5.648349 1.791184 1.194123 0.001074
1.180000 -3.856755 -5.655527 1.798772 1.199182 0.001057
1.190000 -3.856339 -5.659706 1.803366 1.202244 0.001039
1.200000 -3.858650 -5.661077 1.802427 1.201618 0.001095
1.210000 -3.858669 -5.630796 1.772128 1.181419 0.001141
1.220000 -3.854972 -5.574306 1.719335 1.146223 0.001157
1.230000 -3.854336 -5.543181 1.688846 1.125897 0.001198
1.240000 -3.856198 -5.550275 1.694077 1.129385 0.001182
1.250000 -3.857613 -5.567599 1.709986 1.139990 0.001181
1.260000 -3.856922 -5.571918 1.714996 1.143331 0.001167
1.270000 -3.855178 -5.571194 1.716016 1.144011 0.001171
1.280000 -3.856029 -5.586056 1.730027 1.153351 0.001158
1.290000 -3.857485 -5.605698 1.748213 1.165476 0.001154
1.300000 -3.857588 -5.610447 1.752859 1.168573 0.001153
1.310000 -3.855889 -5.601479 1.745590 1.163727 0.001143
1.320000 -3.855687 -5.601718 1.746032 1.164021 0.001136
1.330000 -3.857747 -5.613582 1.755836 1.170557 0.001139
1.340000 -3.858790 -5.609374 1.750585 1.167056 0.001176
1.350000 -3.856459 -5.578058 1.721598 1.147732 0.001163
1.360000 -3.853651 -5.556431 1.702780 1.135187 0.001224
1.370000 -3.855936 -5.581588 1.725652 1.150435 0.001214
1.380000 -3.858921 -5.622698 1.763777 1.175851 0.001250
1.390000 -3.859149 -5.634216 1.775067 1.183378 0.001291
1.400000 -3.856541 -5.612663 1.756123 1.170748 0.001278
1.410000 -3.854591 -5.596746 1.742155 1.161437 0.001295
1.420000 -3.855912 -5.614548 1.758636 1.172424 0.001286
1.430000 -3.857308 -5.649528 1.792220 1.194813 0.001278
1.440000 -3.858435 -5.676733 1.818298 1.212199 0.001291
1.450000 -3.858733 -5.677219 1.818486 1.212324 0.001311
1.460000 -3.858442 -5.646615 1.788173 1.192115 0.001322
1.470000 -3.857771 -5.591996 1.734225 1.156150 0.001318
1.480000 -3.855360 -5.530659 1.675299 1.116866 0.001318
1.490000 -3.854350 -5.498773 1.644423 1.096282 0.001340
1.500000 -3.855184 -5.512630 1.657446 1.104964 0.001341
1.510000 -3.856547 -5.558313 1.701766 1.134511 0.001330
1.520000 -3.857614 -5.610448 1.752834 1.168556 0.001326
1.530000 -3.856911 -5.649857 1.792947 1.195298 0.001316
1.540000 -3.856491 -5.681083 1.824592 1.216394 0.001306
1.550000 -3.858276 -5.705838 1.847562 1.231708 0.001312
1.560000 -3.858208 -5.703094 1.844885 1.229924 0.001316
1.570000 -3.856810 -5.674678 1.817868 1.211912 0.001306
1.580000 -3.856825 -5.640670 1.783845 1.189230 0.001297
1.590000 -3.857631 -5.602605 1.744974 1.163316 0.001293
1.600000 -3.856865 -5.552144 1.695279 1.130186 0.001284
1.610000 -3.855325 -5.501070 1.645745 1.097163 0.001285
1.620000 -3.853995 -5.474019 1.620024 1.080016 0.001313
1.630000 -3.853720 -5.491855 1.638135 1.092090 0.001346
1.640000 -3.855975 -5.556355 1.700380 1.133587 0.001339
1.650000 -3.859907 -5.630104 1.770197 1.180131 0.001383
1.660000 -3.860192 -5.656457 1.796266 1.197510 0.001433
1.670000 -3.857167 -5.629188 1.772022 1.181348 0.001425
1.680000 -3.855139 -5.592614 1.737475 1.158317 0.001426
1.690000 -3.855760 -5.579277 1.723517 1.149012 0.001420
1.700000 -3.855643 -5.587163 1.731519 1.154346 0.001416
1.710000 -3.857119 -5.613119 1.756000 1.170667 0.001408
1.720000 -3.857966 -5.634923 1.776957 1.184638 0.001407
1.730000 -3.857278 -5.635506 1.778228 1.185485 0.001401
1.740000 -3.856666 -5.620031 1.763365 1.175576 0.001392
1.750000 -3.856616 -5.596049 1.739433 1.159622 0.001384
1.760000 -3.855655 -5.567145 1.711490 1.140993 0.001380
1.770000 -3.854550 -5.548419 1.693869 1.129246 0.001390
1.780000 -3.855156 -5.554987 1.699831 1.133221 0.001391
1.790000 -3.855730 -5.579957 1.724227 1.149485 0.001386
1.800000 -3.856608 -5.612447 1.755839 1.170559 0.001379
1.810000 -3.857778 -5.637796 1.780018 1.186679 0.001377
1.820000 -3.857400 -5.640735 1.783336 1.188890 0.001372
1.830000 -3.857179 -5.624670 1.767492 1.178328 0.001366
1.840000 -3.857153 -5.593824 1.736672 1.157781 0.001360
1.850000 -3.855915 -5.552665 1.696750 1.131167 0.001354
1.860000 -3.854942 -5.521308 1.666366 1.110911 0.001358
1.870000 -3.855179 -5.517295 1.662115 1.108077 0.001359
1.880000 -3.855863 -5.541587 1.685724 1.123816 0.001354
1.890000 -3.857394 -5.583096 1.725703 1.150469 0.001349
1.900000 -3.857539 -5.619779 1.762241 1.174827 0.001346
1.910000 -3.856836 -5.646524 1.789688 1.193125 0.001339
1.920000 -3.857601 -5.669804 1.812203 1.208136 0.001337
1.930000 -3.858049 -5.680598 1.822549 1.215033 0.001338
1.940000 -3.857764 -5.673439 1.815675 1.210450 0.001336
1.950000 -3.858050 -5.652776 1.794726 1.196484 0.001336
1.960000 -3.856647 -5.620612 1.763965 1.175977 0.001330
1.970000 -3.854390 -5.601195 1.746805 1.164536 0.001342
1.980000 -3.855225 -5.624734 1.769509 1.179673 0.001342
1.990000 -3.856739 -5.680013 1.823273 1.215516 0.001336
2.000000 -3.859192 -5.736105 1.876913 1.251275 0.001352
2.010000 -3.860549 -5.751702 1.891153 1.260768 0.001395
2.020000 -3.858268 -5.707239 1.848971 1.232647 0.001397
2.030000 -3.854899 -5.637748 1.782848 1.188565 0.001401
2.040000 -3.855143 -5.592293 1.737150 1.158100 0.001402
2.050000 -3.855690 -5.574810 1.719120 1.146080 0.001399
2.060000 -3.855008 -5.578567 1.723559 1.149039 0.001401
2.070000 -3.855310 -5.610423 1.755113 1.170075 0.001400
2.080000 -3.857835 -5.661430 1.803595 1.202397 0.001399
2.090000 -3.859233 -5.694279 1.835046 1.223364 0.001413
2.100000 -3.858247 -5.686730 1.828483 1.218988 0.001415
2.110000 -3.856363 -5.652510 1.796147 1.197431 0.001409
2.120000 -3.855210 -5.619947 1.764737 1.176491 0.001409
2.130000 -3.854194 -5.609701 1.755506 1.170338 0.001421
2.140000 -3.855743 -5.633181 1.777437 1.184958 0.001417
2.150000 -3.858427 -5.666220 1.807793 1.205196 0.001421
2.160000 -3.858563 -5.669539 1.810976 1.207317 0.001425
2.170000 -3.856382 -5.639793 1.783411 1.188941 0.001420
2.180000 -3.854642 -5.608871 1.754229 1.169486 0.001425
2.190000 -3.855948 -5.601853 1.745905 1.163937 0.001421
2.200000 -3.857144 -5.604718 1.747574 1.165049 0.001416
2.210000 -3.856264 -5.602142 1.745878 1.163919 0.001411
2.220000 -3.855461 -5.605239 1.749778 1.166519 0.001410
2.230000 -3.856473 -5.623682 1.767209 1.178140 0.001404
2.240000 -3.857526 -5.643580 1.786053 1.190702 0.001401
2.250000 -3.856832 -5.651153 1.794321 1.196214 0.001396
2.260000 -3.856329 -5.655648 1.799319 1.199546 0.001391
2.270000 -3.857249 -5.664512 1.807263 1.204842 0.001387
2.280000 -3.857366 -5.667518 1.810152 1.206768 0.001384
2.290000 -3.857499 -5.659902 1.802402 1.201602 0.001381
2.300000 -3.855478 -5.644064 1.788587 1.192391 0.001379
2.310000 -3.855038 -5.646787 1.791749 1.194499 0.001381
2.320000 -3.856292 -5.675012 1.818720 1.212480 0.001376
2.330000 -3.858127 -5.706072 1.847945 1.231963 0.001377
2.340000 -3.858329 -5.711950 1.853621 1.235747 0.001380
2.350000 -3.856868 -5.688861 1.831993 1.221328 0.001375
2.360000 -3.855725 -5.658044 1.802319 1.201546 0.001372
2.370000 -3.855672 -5.638189 1.782517 1.188345 0.001370
2.380000 -3.856217 -5.632057 1.775839 1.183893 0.001366
2.390000 -3.856210 -5.632969 1.776759 1.184506 0.001362
2.400000 -3.856995 -5.636728 1.779733 1.186489 0.001358
2.410000 -3.857589 -5.630539 1.772950 1.181967 0.001355
2.420000 -3.856026 -5.607593 1.751566 1.167711 0.001352
2.430000 -3.854450 -5.589501 1.735051 1.156701 0.001359
2.440000 -3.855767 -5.596365 1.740597 1.160398 0.001356
2.450000 -3.858053 -5.609761 1.751708 1.167805 0.001357
2.460000 -3.855075 -5.605593 1.750518 1.167012 0.001358
2.470000 -3.855710 -5.623309 1.767599 1.178399 0.001355
2.480000 -3.859301 -5.654035 1.794734 1.196490 0.001368
2.490000 -3.858411 -5.644175 1.785764 1.190509 0.001371
2.500000 -3.856223 -5.601842 1.745619 1.163746 0.001367
2.510000 -3.854731 -5.561828 1.707096 1.138064 0.001371
2.520000 -3.854362 -5.552235 1.697873 1.131915 0.001378
2.530000 -3.855714 -5.578230 1.722515 1.148343 0.001376
2.540000 -3.856531 -5.619228 1.762697 1.175131 0.001371
2.550000 -3.858670 -5.653749 1.795079 1.196719 0.001377
2.560000 -3.858380 -5.653069 1.794688 1.196459 0.001379
2.570000 -3.855599 -5.625394 1.769795 1.179863 0.001377
2.580000 -3.856447 -5.608239 1.751792 1.167861 0.001373
2.590000 -3.857990 -5.595010 1.737020 1.158013 0.001373
2.600000 -3.857466 -5.565576 1.708109 1.138740 0.001371
2.610000 -3.856701 -5.525954 1.669253 1.112835 0.001367
2.620000 -3.855171 -5.491523 1.636351 1.090901 0.001367
2.630000 -3.854464 -5.486950 1.632486 1.088324 0.001373
2.640000 -3.856465 -5.521887 1.665423 1.110282 0.001369
2.650000 -3.857105 -5.571499 1.714394 1.142930 0.001366
2.660000 -3.857248 -5.622449 1.765201 1.176801 0.001363
2.670000 -3.858041 -5.666945 1.808904 1.205936 0.001363
2.680000 -3.858401 -5.688723 1.830322 1.220214 0.001366
2.690000 -3.857033 -5.681995 1.824961 1.216641 0.001362
2.700000 -3.855635 -5.667489 1.811855 1.207903 0.001361
2.710000 -3.856086 -5.669435 1.813349 1.208899 0.001357
2.720000 -3.855919 -5.690896 1.834976 1.223318 0.001355
2.730000 -3.859416 -5.724713 1.865297 1.243531 0.001367
2.740000 -3.859702 -5.723958 1.864256 1.242838 0.001381
2.750000 -3.856496 -5.681076 1.824580 1.216387 0.001378
2.760000 -3.854235 -5.641900 1.787665 1.191776 0.001385
2.770000 -3.855042 -5.639728 1.784686 1.189791 0.001386
2.780000 -3.856554 -5.663579 1.807026 1.204684 0.001383
2.790000 -3.857813 -5.687113 1.829300 1.219533 0.001382
2.800000 -3.857774 -5.689349 1.831576 1.221050 0.001380
2.810000 -3.856969 -5.668991 1.812022 1.208015 0.001377
2.820000 -3.856476 -5.637441 1.780964 1.187310 0.001374
2.830000 -3.856071 -5.604524 1.748453 1.165635 0.001371
2.840000 -3.855587 -5.579963 1.724377 1.149584 0.001369
2.850000 -3.855354 -5.574346 1.718992 1.145995 0.001369
2.860000 -3.855534 -5.593590 1.738056 1.158704 0.001368
2.870000 -3.858051 -5.630914 1.772862 1.181908 0.001368
2.880000 -3.859615 -5.649224 1.789609 1.193073 0.001381
2.890000 -3.857962 -5.626070 1.768108 1.178738 0.001380
2.900000 -3.856896 -5.584213 1.727317 1.151544 0.001377
2.910000 -3.856375 -5.546231 1.689856 1.126570 0.001374
2.920000 -3.855628 -5.526930 1.671302 1.114201 0.001372
2.930000 -3.856819 -5.535850 1.679031 1.119354 0.001369
2.940000 -3.858328 -5.555378 1.697050 1.131367 0.001370
2.950000 -3.856179 -5.567551 1.711372 1.140915 0.001368
2.960000 -3.856620 -5.598838 1.742218 1.161479 0.001364
2.970000 -3.859149 -5.640531 1.781383 1.187588 0.001372
2.980000 -3.858976 -5.651028 1.792052 1.194702 0.001378
2.990000 -3.857449 -5.627506 1.770057 1.180038 0.001376
3.000000 -3.855717 -5.593128 1.737411 1.158274 0.001374
3.010000 -3.855847 -5.573268 1.717421 1.144947 0.001372
3.020000 -3.856173 -5.569690 1.713517 1.142345 0.001369
3.030000 -3.854894 -5.580715 1.725821 1.150547 0.001371
3.040000 -3.855357 -5.622836 1.767479 1.178319 0.001371
3.050000 -3.857530 -5.687797 1.830267 1.220178 0.001369
3.060000 -3.859597 -5.738155 1.878558 1.252372 0.001380
3.070000 -3.859104 -5.741862 1.882759 1.255172 0.001387
3.080000 -3.856153 -5.706128 1.849975 1.233317 0.001384
3.090000 -3.854995 -5.673205 1.818210 1.212140 0.001386
3.100000 -3.856234 -5.662921 1.806687 1.204458 0.001383
3.110000 -3.856810 -5.661359 1.804548 1.203032 0.001380
3.120000 -3.856453 -5.660679 1.804226 1.202817 0.001377
3.130000 -3.857393 -5.663033 1.805639 1.203760 0.001374
3.140000 -3.856694 -5.658985 1.802291 1.201528 0.001371
3.150000 -3.856168 -5.656173 1.800005 1.200003 0.001369
3.160000 -3.857371 -5.658597 1.801226 1.200817 0.001366
3.170000 -3.856440 -5.652457 1.796017 1.197344 0.001364
3.180000 -3.855471 -5.648394 1.792923 1.195282 0.001363
3.190000 -3.855339 -5.661013 1.805673 1.203782 0.001363
3.200000 -3.855231 -5.693790 1.838559 1.225706 0.001363
3.210000 -3.857371 -5.742238 1.884867 1.256578 0.001361
3.220000 -3.859834 -5.772763 1.912929 1.275286 0.001374
3.230000 -3.859588 -5.749828 1.890241 1.260160 0.001384
3.240000 -3.856676 -5.679913 1.823237 1.215491 0.001381
3.250000 -3.852973 -5.612774 1.759801 1.173201 0.001399
3.260000 -3.853272 -5.606462 1.753190 1.168793 0.001413
3.270000 -3.857542 -5.658370 1.800828 1.200552 0.001412
3.280000 -3.859259 -5.709236 1.849977 1.233318 0.001419
3.290000 -3.858997 -5.726989 1.867992 1.245328 0.001423
3.300000 -3.857323 -5.713562 1.856239 1.237493 0.001421
3.310000 -3.856441 -5.692058 1.835616 1.223744 0.001418
3.320000 -3.856792 -5.676019 1.819228 1.212818 0.001415
3.330000 -3.856019 -5.663531 1.807512 1.205008 0.001413
3.340000 -3.856435 -5.662228 1.805793 1.203862 0.001410
3.350000 -3.858072 -5.664955 1.806883 1.204588 0.001410
3.360000 -3.857709 -5.651783 1.794073 1.196049 0.001409
3.370000 -3.855481 -5.633829 1.778348 1.185565 0.001408
3.380000 -3.856923 -5.640406 1.783483 1.188989 0.001405
3.390000 -3.857759 -5.657650 1.799892 1.199928 0.001404
3.400000 -3.856625 -5.672470 1.815845 1.210564 0.001401
3.410000 -3.855613 -5.697194 1.841580 1.227720 0.001400
3.420000 -3.857814 -5.738783 1.880969 1.253979 0.001399
3.430000 -3.859349 -5.764335 1.904987 1.269991 0.001406
3.440000 -3.857839 -5.750997 1.893158 1.262105 0.001405
3.450000 -3.856431 -5.718311 1.861880 1.241254 0.001403
3.460000 -3.856027 -5.689721 1.833695 1.222463 0.001401
3.470000 -3.856062 -5.673927 1.817865 1.211910 0.001398
3.480000 -3.856135 -5.670991 1.814857 1.209904 0.001396
3.490000 -3.857098 -5.676980 1.819882 1.213255 0.001394
3.500000 -3.857805 -5.677395 1.819590 1.213060 0.001393
3.510000 -3.857172 -5.662516 1.805344 1.203563 0.001390
3.520000 -3.855588 -5.642789 1.787201 1.191468 0.001389
3.530000 -3.854072 -5.644205 1.790133 1.193422 0.001396
3.540000 -3.856177 -5.685173 1.828996 1.219331 0.001394
3.550000 -3.859702 -5.734073 1.874371 1.249581 0.001403
3.560000 -3.860991 -5.738484 1.877493 1.251662 0.001425
3.570000 -3.858352 -5.682843 1.824491 1.216327 0.001426
3.580000 -3.855424 -5.609635 1.754211 1.169474 0.001426
3.590000 -3.855718 -5.565263 1.709545 1.139697 0.001424
3.600000 -3.855729 -5.553060 1.697331 1.131554 0.001423
3.610000 -3.856198 -5.569630 1.713432 1.142288 0.001421
3.620000 -3.858270 -5.602358 1.744088 1.162725 0.001421
3.630000 -3.859257 -5.620589 1.761332 1.174221 0.001427
3.640000 -3.860108 -5.605865 1.745756 1.163838 0.001439
3.650000 -3.858862 -5.549949 1.691087 1.127391 0.001442
3.660000 -3.854370 -5.479643 1.625273 1.083515 0.001446
3.670000 -3.854016 -5.458946 1.604930 1.069953 0.001453
3.680000 -3.856955 -5.495477 1.638522 1.092348 0.001450
3.690000 -3.858240 -5.545312 1.687073 1.124715 0.001450
3.700000 -3.857931 -5.583206 1.725275 1.150183 0.001450
3.710000 -3.856761 -5.610699 1.753938 1.169292 0.001447
3.720000 -3.856754 -5.642207 1.785452 1.190301 0.001444
3.730000 -3.858123 -5.676139 1.818016 1.212011 0.001444
3.740000 -3.858194 -5.692729 1.834535 1.223023 0.001444
3.750000 -3.857247 -5.687503 1.830256 1.220170 0.001442
3.760000 -3.855984 -5.673958 1.817974 1.211983 0.001440
3.770000 -3.856118 -5.670291 1.814173 1.209449 0.001438
3.780000 -3.857272 -5.676013 1.818741 1.212494 0.001436
3.790000 -3.857177 -5.676493 1.819316 1.212877 0.001434
3.800000 -3.855657 -5.673937 1.818280 1.212187 0.001433
3.810000 -3.856354 -5.684871 1.828517 1.219011 0.001430
3.820000 -3.857700 -5.698308 1.840608 1.227072 0.001429
3.830000 -3.857329 -5.693395 1.836065 1.224044 0.001427
3.840000 -3.856495 -5.672816 1.816322 1.210881 0.001425
3.850000 -3.856928 -5.647300 1.790372 1.193581 0.001422
3.860000 -3.855924 -5.616979 1.761055 1.174037 0.001421
3.870000 -3.855394 -5.597078 1.741684 1.161123 0.001420
3.880000 -3.856840 -5.595831 1.738991 1.159328 0.001418
3.890000 -3.856728 -5.597681 1.740952 1.160635 0.001416
3.900000 -3.855721 -5.603832 1.748110 1.165407 0.001415
3.910000 -3.855254 -5.628891 1.773638 1.182425 0.001415
3.920000 -3.856092 -5.678472 1.822379 1.214920 0.001413
3.930000 -3.857484 -5.738017 1.880533 1.253689 0.001411
3.940000 -3.858108 -5.784713 1.926605 1.284403 0.001411
3.950000 -3.858518 -5.804487 1.945969 1.297313 0.001413
3.960000 -3.858345 -5.789579 1.931234 1.287489 0.001413
3.970000 -3.857957 -5.743063 1.885106 1.256738 0.001413
3.980000 -3.857140 -5.675317 1.818177 1.212118 0.001410
3.990000 -3.854943 -5.606092 1.751149 1.167433 0.001412
4.000000 -3.854217 -5.569319 1.715102 1.143402 0.001417
4.010000 -3.856742 -5.574549 1.717808 1.145205 0.001415
4.020000 -3.858222 -5.587597 1.729375 1.152917 0.001415
4.030000 -3.856415 -5.587049 1.730635 1.153756 0.001413
4.040000 -3.855538 -5.594018 1.738479 1.158986 0.001412
4.050000 -3.857188 -5.618797 1.761609 1.174406 0.001410
4.060000 -3.857756 -5.640119 1.782362 1.188242 0.001409
4.070000 -3.857095 -5.648925 1.791830 1.194553 0.001407
4.080000 -3.855887 -5.656410 1.800523 1.200349 0.001406
4.090000 -3.857033 -5.677837 1.820804 1.213869 0.001403
4.100000 -3.858569 -5.696570 1.838000 1.225334 0.001405
4.110000 -3.857036 -5.691324 1.834288 1.222859 0.001403
4.120000 -3.856371 -5.678831 1.822460 1.214973 0.001401
4.130000 -3.858135 -5.669570 1.811436 1.207624 0.001401
4.140000 -3.859173 -5.645369 1.786196 1.190797 0.001405
4.150000 -3.855523 -5.606264 1.750742 1.167161 0.001405
4.160000 -3.854887 -5.607508 1.752621 1.168414 0.001406
4.170000 -3.857373 -5.658746 1.801373 1.200915 0.001404
4.180000 -3.857782 -5.718563 1.860781 1.240521 0.001403
4.190000 -3.858846 -5.767568 1.908722 1.272481 0.001406
4.200000 -3.859761 -5.783665 1.923904 1.282603 0.001414
4.210000 -3.857359 -5.755208 1.897849 1.265233 0.001412
4.220000 -3.854745 -5.717887 1.863142 1.242095 0.001414
4.230000 -3.855430 -5.711901 1.856470 1.237647 0.001414
4.240000 -3.856429 -5.730949 1.874519 1.249680 0.001412
4.250000 -3.857277 -5.754016 1.896738 1.264492 0.001410
4.260000 -3.858699 -5.761792 1.903093 1.268729 0.001412
4.270000 -3.857883 -5.733462 1.875579 1.250386 0.001411
4.280000 -3.856141 -5.679173 1.823032 1.215354 0.001409
4.290000 -3.855076 -5.625809 1.770733 1.180488 0.001410
4.300000 -3.855609 -5.590647 1.735038 1.156692 0.001410
